date,revenue,expenditure,,
Jan-93," 3,807.0 "," 3,069.0 ",,
Feb-93," 3,057.2 "," 2,923.9 ",,
Mar-93," 3,465.1 "," 3,030.0 ",,
Apr-93," 3,733.9 "," 3,394.1 ",,
May-93," 3,532.6 "," 3,190.2 ",,
Jun-93," 3,670.8 "," 3,106.9 ",,
Jul-93," 4,161.1 "," 3,964.4 ",,
Aug-93," 4,221.3 "," 3,377.7 ",,
Sep-93," 3,845.4 "," 3,721.0 ",,
Oct-93," 3,564.1 "," 3,271.6 ",,
Nov-93," 3,847.9 "," 3,477.3 ",,
Dec-93," 3,849.7 "," 3,671.2 ",,
Jan-94," 4,417.5 "," 3,768.4 ",,
Feb-94," 3,635.5 "," 3,488.4 ",,
Mar-94," 3,731.2 "," 3,484.5 ",,
Apr-94," 3,670.4 "," 3,555.9 ",,
May-94," 4,196.6 "," 3,935.5 ",,
Jun-94," 4,256.5 "," 3,301.3 ",,
Jul-94," 4,070.9 "," 4,422.7 ",,
Aug-94," 3,711.8 "," 3,627.4 ",,
Sep-94," 3,909.2 "," 3,683.6 ",,
Oct-94," 3,749.3 "," 3,792.3 ",,
Nov-94," 3,852.2 "," 4,181.5 ",,
Dec-94," 4,257.0 "," 4,328.1 ",,
Jan-95," 4,279.6 "," 3,965.0 ",,
Feb-95," 3,505.1 "," 3,561.8 ",,
Mar-95," 3,894.0 "," 3,987.5 ",,
Apr-95," 3,508.8 "," 3,668.2 ",,
May-95," 4,056.7 "," 4,261.4 ",,
Jun-95," 4,384.8 "," 3,331.4 ",,
Jul-95," 3,948.4 "," 4,564.9 ",,
Aug-95," 3,646.6 "," 3,735.9 ",,
Sep-95," 4,019.0 "," 3,923.5 ",,
Oct-95," 3,584.5 "," 3,860.1 ",,
Nov-95," 3,712.0 "," 4,260.4 ",,
Dec-95," 5,477.7 "," 4,308.7 ",,
Jan-96," 4,046.2 "," 4,254.6 ",,
Feb-96," 3,619.3 "," 3,520.6 ",,
Mar-96," 3,470.2 "," 3,715.8 ",,
Apr-96," 3,521.3 "," 3,796.2 ",,
May-96," 4,062.4 "," 4,448.4 ",,
Jun-96," 3,832.6 "," 3,589.5 ",,
Jul-96," 4,072.8 "," 4,639.1 ",,
Aug-96," 3,951.0 "," 3,883.2 ",,
Sep-96," 3,542.0 "," 3,812.6 ",,
Oct-96," 3,843.4 "," 4,028.0 ",,
Nov-96," 3,779.7 "," 4,388.3 ",,
Dec-96," 4,264.0 "," 4,380.7 ",,
Jan-97," 4,669.6 "," 4,826.5 ",,
Feb-97," 3,937.9 "," 4,018.0 ",,
Mar-97," 4,161.0 "," 4,447.1 ",,
Apr-97," 4,322.7 "," 4,479.6 ",,
May-97," 5,203.4 "," 5,060.7 ",,
Jun-97," 4,309.2 "," 4,194.1 ",,
Jul-97," 4,663.7 "," 5,200.4 ",,
Aug-97," 4,589.1 "," 4,259.3 ",,
Sep-97," 4,635.3 "," 4,626.3 ",,
Oct-97," 4,350.6 "," 4,391.3 ",,
Nov-97," 4,533.6 "," 4,769.0 ",,
Dec-97," 4,462.0 "," 4,826.6 ",,
Jan-98," 4,579.6 "," 4,961.5 ",,
Feb-98," 4,266.0 "," 4,215.7 ",,
Mar-98," 4,719.5 "," 4,803.6 ",,
Apr-98," 4,153.1 "," 4,345.1 ",,
May-98," 5,291.6 "," 5,158.7 ",,
Jun-98," 5,213.6 "," 4,667.4 ",,
Jul-98," 4,850.8 "," 5,401.0 ",,
Aug-98," 4,547.1 "," 4,302.4 ",,
Sep-98," 4,686.1 "," 4,683.1 ",,
Oct-98," 4,363.9 "," 4,455.2 ",,
Nov-98," 4,641.2 "," 4,822.6 ",,
Dec-98," 4,686.6 "," 4,997.9 ",,
Jan-99," 5,061.0 "," 5,044.5 ",,
Feb-99," 4,350.9 "," 4,410.4 ",,
Mar-99," 4,479.6 "," 5,035.5 ",,
Apr-99," 4,115.2 "," 4,679.1 ",,
May-99," 4,838.5 "," 4,886.8 ",,
Jun-99," 4,925.3 "," 4,522.2 ",,
Jul-99," 5,051.5 "," 5,538.5 ",,
Aug-99," 4,182.1 "," 4,741.6 ",,
Sep-99," 4,847.1 "," 4,813.4 ",,
