,date,revenue,expenditure
0,1993-01-01," 3,807.0 "," 3,069.0 "
1,1993-02-01," 3,057.2 "," 2,923.9 "
2,1993-03-01," 3,465.1 "," 3,030.0 "
3,1993-04-01," 3,733.9 "," 3,394.1 "
4,1993-05-01," 3,532.6 "," 3,190.2 "
5,1993-06-01," 3,670.8 "," 3,106.9 "
6,1993-07-01," 4,161.1 "," 3,964.4 "
7,1993-08-01," 4,221.3 "," 3,377.7 "
8,1993-09-01," 3,845.4 "," 3,721.0 "
9,1993-10-01," 3,564.1 "," 3,271.6 "
10,1993-11-01," 3,847.9 "," 3,477.3 "
11,1993-12-01," 3,849.7 "," 3,671.2 "
12,1994-01-01," 4,417.5 "," 3,768.4 "
13,1994-02-01," 3,635.5 "," 3,488.4 "
14,1994-03-01," 3,731.2 "," 3,484.5 "
15,1994-04-01," 3,670.4 "," 3,555.9 "
16,1994-05-01," 4,196.6 "," 3,935.5 "
17,1994-06-01," 4,256.5 "," 3,301.3 "
18,1994-07-01," 4,070.9 "," 4,422.7 "
19,1994-08-01," 3,711.8 "," 3,627.4 "
20,1994-09-01," 3,909.2 "," 3,683.6 "
21,1994-10-01," 3,749.3 "," 3,792.3 "
22,1994-11-01," 3,852.2 "," 4,181.5 "
23,1994-12-01," 4,257.0 "," 4,328.1 "
24,1995-01-01," 4,279.6 "," 3,965.0 "
25,1995-02-01," 3,505.1 "," 3,561.8 "
26,1995-03-01," 3,894.0 "," 3,987.5 "
27,1995-04-01," 3,508.8 "," 3,668.2 "
28,1995-05-01," 4,056.7 "," 4,261.4 "
29,1995-06-01," 4,384.8 "," 3,331.4 "
30,1995-07-01," 3,948.4 "," 4,564.9 "
31,1995-08-01," 3,646.6 "," 3,735.9 "
32,1995-09-01," 4,019.0 "," 3,923.5 "
33,1995-10-01," 3,584.5 "," 3,860.1 "
34,1995-11-01," 3,712.0 "," 4,260.4 "
35,1995-12-01," 5,477.7 "," 4,308.7 "
36,1996-01-01," 4,046.2 "," 4,254.6 "
37,1996-02-01," 3,619.3 "," 3,520.6 "
38,1996-03-01," 3,470.2 "," 3,715.8 "
39,1996-04-01," 3,521.3 "," 3,796.2 "
40,1996-05-01," 4,062.4 "," 4,448.4 "
41,1996-06-01," 3,832.6 "," 3,589.5 "
42,1996-07-01," 4,072.8 "," 4,639.1 "
43,1996-08-01," 3,951.0 "," 3,883.2 "
44,1996-09-01," 3,542.0 "," 3,812.6 "
45,1996-10-01," 3,843.4 "," 4,028.0 "
46,1996-11-01," 3,779.7 "," 4,388.3 "
47,1996-12-01," 4,264.0 "," 4,380.7 "
48,1997-01-01," 4,669.6 "," 4,826.5 "
49,1997-02-01," 3,937.9 "," 4,018.0 "
50,1997-03-01," 4,161.0 "," 4,447.1 "
51,1997-04-01," 4,322.7 "," 4,479.6 "
52,1997-05-01," 5,203.4 "," 5,060.7 "
53,1997-06-01," 4,309.2 "," 4,194.1 "
54,1997-07-01," 4,663.7 "," 5,200.4 "
