date,revenue,expenditure
1993-01-01,4208.2,3571.1
1993-02-01,3458.9,3240.1
1993-03-01,3867.2,3489.6
1993-04-01,4101.9,3744.1
1993-05-01,3948.9,3656.2
1993-06-01,3893.2,3696.5
1993-07-01,4666.5,4542.7
1993-08-01,4761,3769.5
1993-09-01,4484.3,3806.9
1993-10-01,3991.6,3665.1
1993-11-01,4243.5,3646.5
1993-12-01,5002.3,4485.7
1994-01-01,4992.9,4642.4
1994-02-01,4161.6,4071.6
1994-03-01,4219.4,3960.2
1994-04-01,4090.3,4149
1994-05-01,5027.2,4076
1994-06-01,4821.1,3817.8
1994-07-01,4700.2,5178
1994-08-01,4166,4147.2
1994-09-01,4177.1,3937.4
1994-10-01,4326.8,4452
1994-11-01,4435,4263.1
1994-12-01,4922.1,4854.6
1995-01-01,5214.6,5071.3
1995-02-01,4145.3,4413.3
1995-03-01,4496.8,4583.6
1995-04-01,4229.5,4530.8
1995-05-01,4757,4582.9
1995-06-01,5062,4066.4
1995-07-01,5015.6,5442.7
1995-08-01,4377.16,4536.16
1995-09-01,4701.7,4500.3
1995-10-01,4539.1,4813.5
1995-11-01,4689.3,4778.9
1995-12-01,6861.4,5131.7
1996-01-01,4756.8,4947.5
1996-02-01,4334.3,4550.2
1996-03-01,4533.4,4678.8
1996-04-01,4670.1,4933.6
1996-05-01,5011.8,5144.3
1996-06-01,4987.4,4741.6
1996-07-01,5209.1,5723.9
1996-08-01,4917.4,4810.2
1996-09-01,4462.9,4625.8
1996-10-01,4878.9,4958.2
1996-11-01,4842.5,4898.4
1996-12-01,5307.5,5764.7
1997-01-01,5461.8,5692.2
1997-02-01,4682.3,4818.3
1997-03-01,5070.2,5097.9
1997-04-01,5071.1,5185.1
1997-05-01,5825.4,5465.3
1997-06-01,5205.6,5049.5
1997-07-01,6135.5,6251.2
1997-08-01,5177.5,5065
1997-09-01,5231.6,5146.1
1997-10-01,5123.7,5156.2
1997-11-01,5257.3,4986.2
1997-12-01,5303.6,5678.8
1998-01-01,5366.9,5692.9
