date,ipc_chaco,ipc_tucuman,ipc_jujuy,ipc_indec_novo,ipc_indec_velho,,,,,,
1993-01-01,19.8,9.4,251305582.1,,42.78,,,,,,
1993-02-01,20.1,9.5,256966526.4,,43.09,,,,,,
1993-03-01,20.3,9.6,258952652.1,,43.42,,,,,,
1993-04-01,20.5,9.7,260610566.4,,43.87,,,,,,
1993-05-01,20.6,9.8,264136964.1,,44.44,,,,,,
1993-06-01,20.9,9.9,265956197.2,,44.76,,,,,,
1993-07-01,20.9,9.9,267632119.4,,44.90,,,,,,
1993-08-01,21.0,9.9,269633490.1,,44.91,,,,,,
1993-09-01,21.1,9.9,273796248.6,,45.28,,,,,,
1993-10-01,21.3,10.0,275084285.1,,45.53,,,,,,
1993-11-01,21.4,10.0,276880715.0,,45.56,,,,,,
1993-12-01,21.5,10.1,277129712.7,,45.55,,,,,,
1994-01-01,21.5,10.1,277593099.4,,45.60,,,,,,
1994-02-01,21.6,10.1,280890430.8,,45.60,,,,,,
1994-03-01,21.5,10.2,281945954.0,,45.66,,,,,,
1994-04-01,21.5,10.3,282151924.1,,45.77,,,,,,
1994-05-01,21.5,10.3,278499022.2,,45.93,,,,,,
1994-06-01,21.5,10.4,279028311.8,,46.11,,,,,,
1994-07-01,21.6,10.5,280413489.5,,46.54,,,,,,
1994-08-01,21.7,10.5,281498528.4,,46.63,,,,,,
1994-09-01,21.7,10.5,283981330.9,,46.95,,,,,,
1994-10-01,21.8,10.5,285712236.5,,47.10,,,,,,
1994-11-01,21.9,10.5,285478224.1,,47.21,,,,,,
1994-12-01,22.0,10.6,285630891.6,,47.31,,,,,,
1995-01-01,22.2,10.8,288323900.7,,47.90,,,,,,
1995-02-01,22.3,10.8,289468713.2,,47.90,,,,,,
1995-03-01,22.3,10.8,286452187.0,,47.68,,,,,,
1995-04-01,22.5,10.8,286575682.6,,47.90,,,,,,
1995-05-01,22.7,10.9,286824238.0,,47.91,,,,,,
1995-06-01,22.7,10.9,288666627.1,,47.81,,,,,,
1995-07-01,22.9,11.0,296534266.5,,48.01,,,,,,
1995-08-01,22.9,11.1,297708861.0,,47.89,,,,,,
1995-09-01,22.9,11.1,298958993.8,,47.97,,,,,,
1995-10-01,23.0,11.2,298274458.8,,48.13,,,,,,
1995-11-01,23.0,11.2,298077271.3,,48.02,,,,,,
1995-12-01,23.1,11.1,299213640.1,,48.07,,,,,,
1996-01-01,23.2,11.2,300473267.5,,48.21,,,,,,
1996-02-01,23.2,11.2,299353871.9,,48.06,,,,,,
1996-03-01,23.2,11.2,298326195.0,,47.80,,,,,,
1996-04-01,23.2,11.2,298187497.4,,47.80,,,,,,
1996-05-01,23.2,11.2,296923616.1,,47.76,,,,,,
1996-06-01,23.2,11.2,295466043.2,,47.76,,,,,,
1996-07-01,23.3,11.2,296654955.5,,48.02,,,,,,
1996-08-01,23.3,11.2,296082168.0,,47.98,,,,,,
1996-09-01,23.3,11.2,297528606.8,,48.07,,,,,,
1996-10-01,23.3,11.2,297588462.3,,48.31,,,,,,
1996-11-01,23.4,11.2,294230947.6,,48.23,,,,,,
1996-12-01,23.4,11.2,295774495.6,,48.10,,,,,,
1997-01-01,23.4,11.2,294459274.7,,48.32,,,,,,
1997-02-01,23.4,11.1,295016004.2,,48.51,,,,,,
1997-03-01,23.4,11.1,294722234.3,,48.27,,,,,,
1997-04-01,23.4,11.1,293739311.6,,48.11,,,,,,
1997-05-01,23.4,11.1,293986866.4,,48.07,,,,,,
1997-06-01,23.4,11.1,294372227.7,,48.18,,,,,,
1997-07-01,23.4,11.1,291581600.3,,48.29,,,,,,
1997-08-01,23.5,11.1,292015799.6,,48.36,,,,,,
1997-09-01,23.5,11.1,292429439.1,,48.34,,,,,,
1997-10-01,23.5,11.1,293257322.7,,48.27,,,,,,
1997-11-01,23.4,11.0,292434962.9,,48.17,,,,,,
1997-12-01,23.4,11.0,293061878.0,,48.25,,,,,,
1998-01-01,23.5,11.0,293465338.6,,48.56,,,,,,
1998-02-01,23.5,11.0,293568050.0,,48.73,,,,,,
1998-03-01,23.4,11.1,296087286.3,,48.67,,,,,,
1998-04-01,23.5,11.1,296229100.2,,48.67,,,,,,
1998-05-01,23.5,11.1,294575645.1,,48.64,,,,,,
1998-06-01,23.6,11.1,293369237.3,,48.73,,,,,,
1998-07-01,23.6,11.1,293503090.1,,48.88,,,,,,
1998-08-01,23.7,11.1,294283637.7,,48.89,,,,,,
1998-09-01,23.7,11.0,296135240.0,,48.88,,,,,,
1998-10-01,23.7,11.0,296333898.0,,48.70,,,,,,
1998-11-01,23.7,11.0,295545895.0,,48.58,,,,,,
1998-12-01,23.7,11.0,293674688.4,,48.58,,,,,,
1999-01-01,23.7,11.0,290810707.1,,48.80,,,,,,
1999-02-01,23.7,10.9,290128001.1,,48.73,,,,,,
1999-03-01,23.7,10.9,288572317.1,,48.36,,,,,,
1999-04-01,23.6,10.9,287247826.1,,48.31,,,,,,
1999-05-01,23.7,10.9,286257806.3,,48.07,,,,,,
1999-06-01,23.6,10.8,284622667.0,,48.07,,,,,,
1999-07-01,23.6,10.8,283045654.7,,48.16,,,,,,
1999-08-01,23.5,10.8,282734902.6,,47.98,,,,,,
1999-09-01,23.5,10.8,282770609.4,,47.88,,,,,,
1999-10-01,23.5,10.7,282396973.7,,47.88,,,,,,
1999-11-01,23.5,10.7,282365836.6,,47.73,,,,,,
1999-12-01,23.5,10.7,279874656.0,,47.70,,,,,,
2000-01-01,23.5,10.7,280049422.2,,48.10,,,,,,
2000-02-01,23.6,10.7,281783728.7,,48.10,,,,,,
2000-03-01,23.5,10.7,283047768.2,,47.85,,,,,,
2000-04-01,23.4,10.7,283276525.4,,47.79,,,,,,
2000-05-01,23.4,10.7,281371143.3,,47.61,,,,,,
2000-06-01,23.4,10.7,280475881.8,,47.52,,,,,,
2000-07-01,23.4,10.7,279323557.9,,47.73,,,,,,
2000-08-01,23.3,10.6,278596713.8,,47.62,,,,,,
2000-09-01,23.3,10.6,278469979.3,,47.55,,,,,,
2000-10-01,23.4,10.7,279219508.1,,47.63,,,,,,
2000-11-01,23.4,10.6,278146951.5,,47.40,,,,,,
2000-12-01,23.4,10.6,277891430.0,,47.35,,,,,,
2001-01-01,23.4,10.6,278161558.9,,47.39,,,,,,
2001-02-01,23.4,10.6,278162035.7,,47.28,,,,,,
2001-03-01,23.6,10.6,277789972.1,,47.37,,,,,,
2001-04-01,23.5,10.6,277755215.4,,47.68,,,,,,
2001-05-01,23.5,10.6,277703437.3,,47.72,,,,,,
2001-06-01,23.6,10.6,276208541.7,,47.37,,,,,,
2001-07-01,23.6,10.6,274875996.6,,47.22,,,,,,
2001-08-01,23.6,10.6,275026191.7,,47.05,,,,,,
2001-09-01,23.6,10.5,274438115.6,,47.01,,,,,,
2001-10-01,23.6,10.5,274463819.3,,46.80,,,,,,
2001-11-01,23.6,10.5,273895410.7,,46.65,,,,,,
2001-12-01,23.8,10.6,273102067.1,,46.62,,,,,,
2002-01-01,24.1,10.8,275010758.8,,47.68,,,,,,
2002-02-01,24.6,11.2,285692894.3,,49.18,,,,,,
2002-03-01,25.6,11.8,300008865.6,,51.13,,,,,,
2002-04-01,28.2,12.9,328916617.5,,56.44,,,,,,
2002-05-01,29.5,13.6,348387994.8,,58.70,,,,,,
2002-06-01,31.1,14.4,363366314.5,,60.83,,,,,,
2002-07-01,32.1,14.6,368683710.0,,62.77,,,,,,
2002-08-01,33.6,15.2,376218842.1,,64.24,,,,,,
2002-09-01,34.1,15.4,386042263.7,,65.11,,,,,,
2002-10-01,34.6,15.6,387648023.6,,65.25,,,,,,
2002-11-01,34.6,15.7,389329383.5,,65.58,,,,,,
2002-12-01,35.1,15.8,393162080.3,,65.70,,,,,,
2003-01-01,35.1,15.9,397351359.2,,66.57,,,,,,
2003-02-01,35.3,16.1,401675749.5,,66.95,,,,,,
2003-03-01,35.8,16.2,404384971.0,,67.34,,,,,,
2003-04-01,35.9,16.3,404463012.5,,67.37,,,,,,
2003-05-01,35.7,16.3,399425580.0,,67.12,,,,,,
2003-06-01,35.6,16.2,393137716.8,,67.06,,,,,,
2003-07-01,35.8,16.1,390924200.3,,67.36,,,,,,
2003-08-01,35.7,15.9,391737752.2,,67.37,,,,,,
2003-09-01,35.6,15.8,391553932.2,,67.40,,,,,,
2003-10-01,35.7,15.8,395024667.9,,67.80,,,,,,
2003-11-01,35.6,15.9,397008345.8,,67.96,,,,,,
2003-12-01,36.0,15.9,400694314.1,,68.11,,,,,,
2004-01-01,36.0,16.0,404414341.9,,68.39,,,,,,
2004-02-01,36.1,16.0,406810373.2,,68.46,,,,,,
2004-03-01,36.7,16.1,407288360.2,,68.87,,,,,,
2004-04-01,36.8,16.2,404665242.0,,69.46,,,,,,
2004-05-01,37.3,16.4,408807505.5,,69.97,,,,,,
2004-06-01,37.9,16.5,409852713.9,,70.36,,,,,,
2004-07-01,38.3,16.6,408096252.8,,70.69,,,,,,
2004-08-01,38.5,16.7,408324078.2,,70.93,,,,,,
2004-09-01,38.5,16.7,410713524.1,,71.38,,,,,,
2004-10-01,38.6,16.8,411047332.7,,71.66,,,,,,
2004-11-01,39.0,16.8,411340940.6,,71.66,,,,,,
2004-12-01,39.7,17.0,413175231.5,,72.26,,,,,,
2005-01-01,39.8,17.1,415973410.1,,73.33,,,,,,
2005-02-01,40.3,17.3,419587657.1,,74.03,,,,,,
2005-03-01,41.4,17.5,423589210.0,,75.17,,,,,,
2005-04-01,41.6,17.8,425016362.0,,75.54,,,,,,
2005-05-01,41.6,17.8,425089146.3,,75.99,,,,,,
2005-06-01,42.0,17.9,429163743.4,,76.69,,,,,,
2005-07-01,42.2,18.1,429918794.0,,77.46,,,,,,
2005-08-01,42.3,18.3,435288166.6,,77.80,,,,,,
2005-09-01,42.7,18.5,439732265.7,,78.70,,,,,,
2005-10-01,43.0,18.6,443581494.2,,79.32,,,,,,
2005-11-01,43.5,18.9,452558877.5,,80.28,,,,,,
2005-12-01,43.7,19.0,456540327.0,,81.17,,,,,,
2006-01-01,44.3,19.2,459899824.8,,82.21,,,,,,
2006-02-01,44.9,19.3,466145931.8,,82.53,,,,,,
2006-03-01,45.1,19.5,475255979.7,,83.53,,,,,,
2006-04-01,45.6,19.6,478626759.8,,84.34,,,,,,
2006-05-01,45.7,19.7,482465643.6,,84.73,,,,,,
2006-06-01,45.9,19.8,484251825.0,,85.14,,,,,,
2006-07-01,46.0,19.9,483259626.9,,85.67,,,,,,
2006-08-01,46.2,20.1,485509024.6,,86.15,,,,,,
2006-09-01,46.6,20.2,489704603.9,,86.93,,,,,,
2006-10-01,46.9,20.3,494159540.6,,87.67,,,,,,
2006-11-01,47.4,20.6,496843992.5,,88.29,,,,,,
2006-12-01,48.3,20.9,507457691.9,,89.16,,,,,,
2007-01-01,48.5,21.2,513229146.4,,90.18,,,,,,
2007-02-01,48.9,21.3,519145348.2,,90.45,,,,,,
2007-03-01,49.6,21.6,526000339.8,,91.14,,,,,,
2007-04-01,50.5,21.8,533193670.4,,91.82,,,,,,
2007-05-01,51.1,22.0,549065429.1,,92.20,,,,,,
2007-06-01,52.7,22.3,563107149.8,,92.61,,,,,,
2007-07-01,53.8,22.6,580054666.0,,93.07,,,,,,
2007-08-01,55.6,22.8,605352687.2,,93.62,,,,,,
2007-09-01,57.9,23.0,614820086.0,,94.37,,,,,,
2007-10-01,59.8,23.2,627539087.5,,95.01,,,,,,
2007-11-01,60.1,23.1,628835133.0,,95.82,,,,,,
2007-12-01,61.0,23.2,633926073.5,,96.71,,,,,,
2008-01-01,61.7,23.5,638731046.2,,97.61,,,,,,
2008-02-01,62.9,23.6,655638173.3,,98.07,,,,,,
2008-03-01,66.1,24.1,681820978.0,,99.18,,,,,,
2008-04-01,66.3,24.7,714336061.0,,100.00,,,,,,
2008-05-01,67.2,24.9,726538249.4,,100.56,,,,,,
2008-06-01,67.7,25.0,739422101.0,,101.20,,,,,,
2008-07-01,67.6,25.1,753473911.9,,101.57,,,,,,
2008-08-01,67.5,25.2,757463051.9,,102.05,,,,,,
2008-09-01,68.7,25.4,765340610.7,,102.57,,,,,,
2008-10-01,69.4,25.5,775772274.9,,103.01,,,,,,
2008-11-01,71.1,25.6,784901377.6,,103.36,,,,,,
2008-12-01,71.8,25.7,784346468.2,,103.71,,,,,,
2009-01-01,71.9,25.8,791691799.1,,104.26,,,,,,
2009-02-01,71.1,25.9,802871339.7,,104.71,,,,,,
2009-03-01,72.8,26.1,812239552.0,,105.38,,,,,,
2009-04-01,73.4,26.2,817595519.1,,105.73,,,,,,
2009-05-01,73.3,26.2,819844118.8,,106.08,,,,,,
2009-06-01,74.9,26.4,825537115.5,,106.53,,,,,,
2009-07-01,75.5,26.5,831524965.1,,107.19,,,,,,
2009-08-01,76.1,26.7,848047362.7,,108.08,,,,,,
2009-09-01,77.8,26.9,856532659.6,,108.88,,,,,,
2009-10-01,79.7,27.1,874140650.8,,109.75,,,,,,
2009-11-01,81.2,27.4,882651922.4,,110.66,,,,,,
2009-12-01,84.4,27.6,912052665.7,,111.69,,,,,,
2010-01-01,86.3,27.9,937901056.0,,112.85,,,,,,
2010-02-01,90.6,28.3,975144908.2,,114.26,,,,,,
2010-03-01,89.9,28.6,1031478197.8,,115.56,,,,,,
2010-04-01,89.3,28.8,1062490230.7,,116.52,,,,,,
2010-05-01,93.8,29.0,1077020856.2,,117.39,,,,,,
2010-06-01,95.8,29.2,1094937586.8,,118.25,,,,,,
2010-07-01,97.8,29.5,1096698652.9,,119.20,,,,,,
2010-08-01,98.5,29.7,1109526614.4,,120.08,,,,,,
2010-09-01,100.0,29.9,1128210140.3,,120.95,,,,,,
